Variable,,Variable,Binning,Score
ATSp2,35,ATSp2,"(3157.196, 11960.934]",51
,34,ATSp2,"(2763.198, 3157.196]",31
,38,ATSp2,"(679.59, 1706.175]",-9
,36,ATSp2,"(2268.304, 2763.198]",-10
,37,ATSp2,"(1706.175, 2268.304]",-19
ECCEN,42,ECCEN,"(1011.0, 15308.0]",95
,39,ECCEN,"(780.0, 1011.0]",48
,41,ECCEN,"(463.2, 780.0]",6
,43,ECCEN,"(195.999, 354.0]",-28
,40,ECCEN,"(354.0, 463.2]",-30
MW,52,MW,"(473.237, 2349.392]",133
,49,MW,"(428.193, 473.237]",96
,51,MW,"(347.031, 428.193]",6
,53,MW,"(194.093, 292.09]",-32
,50,MW,"(292.09, 347.031]",-65
SHBa,46,SHBa,"(-3.939, 21.915]",9
,44,SHBa,"(21.915, 30.231]",1
,47,SHBa,"(35.461, 46.943]",-3
,45,SHBa,"(30.231, 35.461]",-4
,48,SHBa,"(46.943, 476.223]",-7
SHBint10,33,SHBint10,"(0.0, 2.844]",9
,31,SHBint10,"(9.8, 113.567]",5
,32,SHBint10,"(2.844, 9.8]",3
,30,SHBint10,"(-1.4889999999999999, 0.0]",-4
SdO,15,SdO,"(22.972, 283.941]",6
,14,SdO,"(-0.001, 12.092]",1
,16,SdO,"(12.092, 22.972]",-7
SsOH,6,SsOH,"(10.014, 18.887]",20
,7,SsOH,"(18.887, 19.838]",12
,8,SsOH,"(19.838, 65.625]",6
,5,SsOH,"(-0.001, 10.014]",-16
SssO,19,SssO,"(-0.001, 5.706]",15
,18,SssO,"(5.706, 11.359]",-25
,17,SssO,"(11.359, 30.025]",-43
TopoPSA,4,TopoPSA,"(93.06, 1207.82]",87
,1,TopoPSA,"(75.99, 93.06]",58
,2,TopoPSA,"(46.53, 62.16]",11
,0,TopoPSA,"(62.16, 75.99]",9
,3,TopoPSA,"(12.469000000000001, 46.53]",-100
VABC,11,VABC,"(247.67, 307.709]",7
,13,VABC,"(182.546, 247.67]",3
,12,VABC,"(307.709, 389.301]",1
,9,VABC,"(389.301, 437.742]",-9
,10,VABC,"(437.742, 2284.171]",-15
bpol,56,bpol,"(18.179, 26.002]",9
,57,bpol,"(9.078000000000001, 18.179]",5
,58,bpol,"(26.002, 34.866]",4
,55,bpol,"(34.866, 40.859]",-11
,54,bpol,"(40.859, 227.457]",-19
maxdO,25,maxdO,"(12.775, 14.964]",1
,24,maxdO,"(-0.001, 11.988]",0
,26,maxdO,"(11.988, 12.775]",-1
maxsOH,23,maxsOH,"(-0.001, 9.657]",9
,22,maxsOH,"(9.657, 9.89]",6
,21,maxsOH,"(10.067, 12.471]",-7
,20,maxsOH,"(9.89, 10.067]",-23
mindO,27,mindO,"(-0.001, 11.572]",6
,28,mindO,"(12.493, 14.391]",3
,29,mindO,"(11.572, 12.493]",-17
nAromBond,62,nAromBond,"(18.0, 34.0]",28
,60,nAromBond,"(17.0, 18.0]",16
,61,nAromBond,"(12.0, 17.0]",-1
,59,nAromBond,"(-0.001, 12.0]",-21
nBondsS2,64,nBondsS2,"(41.0, 50.0]",56
,63,nBondsS2,"(50.0, 315.0]",36
,66,nBondsS2,"(30.0, 41.0]",-16
,65,nBondsS2,"(20.0, 30.0]",-19
,67,nBondsS2,"(9.999, 20.0]",-29
